waveform	[0]	[1]
t0	12/31/1903  19:00:00.000000	12/31/1903  19:00:00.000000
delta t	0.001000	0.001000

time	Y[0]	Y[1]
12/31/1903  19:00:00.194000	-2.999251E+0	-6.701507E-2
12/31/1903  19:00:00.195000	-2.998830E+0	8.376492E-2
12/31/1903  19:00:00.196000	-2.990834E+0	2.343333E-1
12/31/1903  19:00:00.197000	-2.975283E+0	3.843097E-1
12/31/1903  19:00:00.198000	-2.952215E+0	5.333154E-1
12/31/1903  19:00:00.199000	-2.921690E+0	6.809738E-1
12/31/1903  19:00:00.200000	-2.883785E+0	8.269121E-1
12/31/1903  19:00:00.201000	-2.838595E+0	9.707615E-1
12/31/1903  19:00:00.202000	-2.786235E+0	1.112159E+0
12/31/1903  19:00:00.203000	-2.726836E+0	1.250746E+0
12/31/1903  19:00:00.204000	-2.660549E+0	1.386175E+0
12/31/1903  19:00:00.205000	-2.587541E+0	1.518101E+0
12/31/1903  19:00:00.206000	-2.507997E+0	1.646193E+0
12/31/1903  19:00:00.207000	-2.422117E+0	1.770126E+0
12/31/1903  19:00:00.208000	-2.330119E+0	1.889588E+0
12/31/1903  19:00:00.209000	-2.232235E+0	2.004277E+0
12/31/1903  19:00:00.210000	-2.128712E+0	2.113903E+0
12/31/1903  19:00:00.211000	-2.019812E+0	2.218188E+0
12/31/1903  19:00:00.212000	-1.905809E+0	2.316871E+0
12/31/1903  19:00:00.213000	-1.786993E+0	2.409701E+0
12/31/1903  19:00:00.214000	-1.663662E+0	2.496443E+0
12/31/1903  19:00:00.215000	-1.536129E+0	2.576880E+0
12/31/1903  19:00:00.216000	-1.404715E+0	2.650807E+0
12/31/1903  19:00:00.217000	-1.269753E+0	2.718038E+0
12/31/1903  19:00:00.218000	-1.131583E+0	2.778402E+0
12/31/1903  19:00:00.219000	-9.905548E-1	2.831749E+0
12/31/1903  19:00:00.220000	-8.470244E-1	2.877942E+0
12/31/1903  19:00:00.221000	-7.013543E-1	2.916865E+0
12/31/1903  19:00:00.222000	-5.539126E-1	2.948420E+0
12/31/1903  19:00:00.223000	-4.050716E-1	2.972527E+0
12/31/1903  19:00:00.224000	-2.552074E-1	2.989125E+0
12/31/1903  19:00:00.225000	-1.046985E-1	2.998172E+0
12/31/1903  19:00:00.226000	4.607488E-2	2.999646E+0
12/31/1903  19:00:00.227000	1.967319E-1	2.993542E+0
12/31/1903  19:00:00.228000	3.468919E-1	2.979877E+0
12/31/1903  19:00:00.229000	4.961756E-1	2.958684E+0
12/31/1903  19:00:00.230000	6.442060E-1	2.930017E+0
12/31/1903  19:00:00.231000	7.906090E-1	2.893948E+0
12/31/1903  19:00:00.232000	9.350149E-1	2.850570E+0
12/31/1903  19:00:00.233000	1.077059E+0	2.799990E+0
12/31/1903  19:00:00.234000	1.216382E+0	2.742337E+0
12/31/1903  19:00:00.235000	1.352633E+0	2.677757E+0
12/31/1903  19:00:00.236000	1.485466E+0	2.606413E+0
12/31/1903  19:00:00.237000	1.614548E+0	2.528485E+0
12/31/1903  19:00:00.238000	1.739550E+0	2.444170E+0
12/31/1903  19:00:00.239000	1.860159E+0	2.353680E+0
12/31/1903  19:00:00.240000	1.976068E+0	2.257245E+0
12/31/1903  19:00:00.241000	2.086986E+0	2.155108E+0
12/31/1903  19:00:00.242000	2.192632E+0	2.047526E+0
12/31/1903  19:00:00.243000	2.292739E+0	1.934773E+0
12/31/1903  19:00:00.244000	2.387055E+0	1.817132E+0
12/31/1903  19:00:00.245000	2.475340E+0	1.694901E+0
12/31/1903  19:00:00.246000	2.557373E+0	1.568388E+0
12/31/1903  19:00:00.247000	2.632946E+0	1.437914E+0
12/31/1903  19:00:00.248000	2.701867E+0	1.303807E+0
12/31/1903  19:00:00.249000	2.763964E+0	1.166407E+0
12/31/1903  19:00:00.250000	2.819078E+0	1.026060E+0
12/31/1903  19:00:00.251000	2.867071E+0	8.831218E-1
12/31/1903  19:00:00.252000	2.907822E+0	7.379524E-1
12/31/1903  19:00:00.253000	2.941227E+0	5.909188E-1
12/31/1903  19:00:00.254000	2.967202E+0	4.423925E-1
12/31/1903  19:00:00.255000	2.985682E+0	2.927487E-1
12/31/1903  19:00:00.256000	2.996620E+0	1.423654E-1
12/31/1903  19:00:00.257000	2.999988E+0	-8.377570E-3
12/31/1903  19:00:00.258000	2.995778E+0	-1.590994E-1
12/31/1903  19:00:00.259000	2.984001E+0	-3.094192E-1
12/31/1903  19:00:00.260000	2.964685E+0	-4.589575E-1
12/31/1903  19:00:00.261000	2.937881E+0	-6.073364E-1
12/31/1903  19:00:00.262000	2.903655E+0	-7.541811E-1
12/31/1903  19:00:00.263000	2.862094E+0	-8.991207E-1
12/31/1903  19:00:00.264000	2.813303E+0	-1.041789E+0
12/31/1903  19:00:00.265000	2.757406E+0	-1.181826E+0
12/31/1903  19:00:00.266000	2.694543E+0	-1.318877E+0
12/31/1903  19:00:00.267000	2.624874E+0	-1.452597E+0
12/31/1903  19:00:00.268000	2.548574E+0	-1.582647E+0
12/31/1903  19:00:00.269000	2.465836E+0	-1.708699E+0
12/31/1903  19:00:00.270000	2.376869E+0	-1.830435E+0
12/31/1903  19:00:00.271000	2.281898E+0	-1.947548E+0
12/31/1903  19:00:00.272000	2.181163E+0	-2.059740E+0
12/31/1903  19:00:00.273000	2.074917E+0	-2.166730E+0
12/31/1903  19:00:00.274000	1.963431E+0	-2.268246E+0
12/31/1903  19:00:00.275000	1.846984E+0	-2.364032E+0
